iter	Passed	Remaining
841	41351	7759
842	41407	7711
843	41470	7665
844	41523	7616
845	41618	7575
846	41674	7528
847	41733	7480
848	41799	7434
849	41870	7388
850	41924	7340
851	41976	7291
852	42024	7242
853	42058	7190
854	42106	7140
855	42160	7092
856	42218	7044
857	42275	6996
858	42330	6948
859	42393	6901
860	42434	6850
861	42482	6801
862	42533	6752
863	42592	6704
864	42650	6656
865	42708	6608
866	42768	6560
867	42827	6512
868	42884	6464
869	42939	6416
870	43009	6369
871	43074	6322
872	43134	6275
873	43192	6226
874	43249	6178
875	43303	6129
876	43354	6080
877	43412	6032
878	43461	5982
879	43505	5932
880	43555	5883
881	43598	5832
882	43647	5783
883	43701	5734
884	43759	5686
885	43849	5641
886	43903	5593
887	43949	5543
888	43993	5493
889	44037	5442
890	44092	5393
891	44140	5344
892	44190	5294
893	44231	5244
894	44272	5193
895	44324	5144
896	44376	5095
897	44425	5046
898	44466	4995
899	44507	4945
900	44559	4896
901	44605	4846
902	44650	4796
903	44694	4746
904	44741	4696
905	44794	4647
906	44846	4598
907	44893	4548
908	44938	4498
909	44979	4448
910	45027	4398
911	45073	4349
912	45116	4299
913	45162	4249
914	45213	4200
915	45269	4151
916	45316	4101
917	45358	4051
918	45404	4001
919	45453	3952
920	45510	3903
921	45558	3854
922	45598	3803
923	45642	3754
924	45686	3704
925	45737	3655
926	45783	3605
927	45826	3555
928	45866	3505
929	45906	3455
930	45949	3405
931	46000	3356
932	46042	3306
933	46080	3256
934	46122	3206
935	46164	3156
936	46218	3107
937	46257	3057
938	46300	3007
939	46341	2957
940	46384	2908
941	46431	2858
942	46469	2808
943	46510	2759
944	46552	2709
945	46597	2659
946	46646	2610
947	46690	2561
948	46729	2511
949	46766	2461
950	46809	2411
951	46860	2362
952	46904	2313
953	46947	2263
954	46990	2214
955	47042	2165
956	47090	2115
957	47132	2066
958	47174	2016
959	47216	1967
960	47266	1918
961	47315	1869
962	47356	1819
963	47394	1769
964	47437	1720
965	47479	1671
966	47533	1622
967	47576	1572
968	47620	1523
969	47662	1474
970	47715	1425
971	47764	1375
972	47819	1326
973	47869	1277
974	47919	1228
975	47974	1179
976	48022	1130
977	48067	1081
978	48107	1031
979	48157	982
980	48204	933
981	48250	884
982	48295	835
983	48333	785
984	48378	736
985	48428	687
986	48471	638
987	48518	589
988	48561	540
989	48610	491
990	48654	441
991	48699	392
992	48746	343
993	48794	294
994	48842	245
995	48888	196
996	48936	147
997	48981	98
998	49030	49
999	49085	0
