iter	Logloss
0	0.5363839937
1	0.4411006003
2	0.3746482856
3	0.332321716
4	0.3011519371
5	0.2817009446
6	0.2648239383
7	0.2523483762
8	0.2440399651
9	0.2357816902
10	0.2286515086
11	0.2233234094
12	0.2182892641
13	0.2137817065
14	0.210256339
15	0.2074032646
16	0.2039366929
17	0.2013061727
18	0.1986106017
19	0.1970311526
20	0.1954575025
21	0.1940718715
22	0.1925333919
23	0.1909925555
24	0.189516268
25	0.1883330383
26	0.1868254561
27	0.1856481553
28	0.1844521456
29	0.1831586933
30	0.1819878426
31	0.1808824108
32	0.1799429415
33	0.1792871756
34	0.1783945059
35	0.1777777634
36	0.1767439368
37	0.1758113103
38	0.1749473743
39	0.1742369667
40	0.1736006625
41	0.1730942947
42	0.1726707575
43	0.1720550065
44	0.1716401223
45	0.17068072
46	0.1700519824
47	0.1693350904
48	0.1686930508
49	0.1682746097
50	0.1677480564
51	0.1672427584
52	0.1667958135
53	0.1663497496
54	0.1659177618
55	0.1654377318
56	0.1651181296
57	0.1647388942
58	0.164290261
59	0.1639308572
60	0.1634537868
61	0.1630440926
62	0.1627653244
63	0.1624332978
64	0.1618774354
65	0.1614530164
66	0.1610937944
67	0.1607203167
68	0.1604781544
69	0.1602609876
70	0.1599731347
71	0.1594710251
72	0.1590440491
73	0.1587164876
74	0.1584046269
75	0.1582127977
76	0.1579358462
77	0.1575700217
78	0.1572612561
79	0.1571035211
80	0.1567625455
81	0.1565689972
82	0.1563204763
83	0.1560896659
84	0.1558742278
85	0.1555868883
86	0.1553528199
87	0.1550376817
88	0.1545853642
89	0.1543842548
90	0.1539762733
91	0.1536896642
92	0.1533333347
93	0.1531362173
94	0.1527811323
95	0.1525933126
96	0.1523490594
97	0.1521037863
98	0.1518944804
99	0.1516686848
100	0.1514350094
101	0.1511993109
102	0.1507907783
103	0.1506306811
104	0.1504452656
105	0.1502607282
106	0.1499774512
107	0.1497234092
108	0.1495272666
109	0.14925098
110	0.1489982284
111	0.1487994167
112	0.1485414856
113	0.1482833374
114	0.1480645091
115	0.1478053644
116	0.1475586855
117	0.1473026671
118	0.1472151685
119	0.1471230132
120	0.1469481419
121	0.1468057512
122	0.14665119
123	0.1463877468
124	0.1461938435
125	0.146018669
126	0.1457729486
127	0.1456710668
128	0.1455128306
129	0.1453974319
130	0.1452341522
131	0.1450545821
132	0.1449825846
133	0.1447603124
134	0.144583771
135	0.1444144732
136	0.1441908885
137	0.1439676476
138	0.1437657612
139	0.1436692734
140	0.1434915351
141	0.1433996961
142	0.1431963582
143	0.1429845343
144	0.1427848913
145	0.1426897489
146	0.1425790109
147	0.1424810502
148	0.1423198447
149	0.1421271844
150	0.1419466369
151	0.1418871521
152	0.141698726
153	0.1414850883
154	0.1413479344
155	0.141142519
156	0.1410899741
157	0.1409401158
158	0.1408727037
159	0.1406990845
160	0.1405882096
161	0.1404145911
162	0.1402869441
163	0.1400794732
164	0.1400089176
165	0.1398750451
166	0.1396702528
167	0.1395714976
168	0.1393734015
169	0.1392195251
170	0.139051173
171	0.1389938115
172	0.1389307858
173	0.1388359225
174	0.1387490032
175	0.1386143251
176	0.1385057482
177	0.1384237393
178	0.1383891706
179	0.1382455561
180	0.1380977565
181	0.1379201359
182	0.1377754899
183	0.1375928297
184	0.1373746461
185	0.137237563
186	0.137105103
187	0.1369839232
188	0.1368071532
189	0.1366626116
190	0.1366268923
191	0.1365528475
192	0.1363999783
193	0.1362960194
194	0.1361062495
195	0.136010051
196	0.1359134941
197	0.1358181605
198	0.1357624622
199	0.1356046244
200	0.1354908149
201	0.135459661
202	0.135366219
203	0.1352819368
204	0.1351488618
205	0.13499667
206	0.1348422441
207	0.1347837924
208	0.1346448124
209	0.1345216233
210	0.1344386469
211	0.1343920159
212	0.1342534309
213	0.1341262953
214	0.1340283328
215	0.1339421668
216	0.1337714968
217	0.1336945467
218	0.1335822455
219	0.1334557833
220	0.1333890064
221	0.1332728983
222	0.1331826164
223	0.1331572151
224	0.1329927417
225	0.1328599866
226	0.1327569438
227	0.1325865635
228	0.1324396778
229	0.1322981606
230	0.1321612416
231	0.1321190044
232	0.1320285974
233	0.1319191548
234	0.1318095073
235	0.1317224029
236	0.1315924798
237	0.1314784639
238	0.1313529231
239	0.1312866736
240	0.1311941576
241	0.1310313967
242	0.1310057013
243	0.1309293966
244	0.1308157284
245	0.1307446687
246	0.1306110561
247	0.1305366362
248	0.130424133
249	0.1304016671
250	0.1303221531
251	0.1301833171
252	0.1300831451
253	0.1300057247
254	0.1299479687
255	0.1298469017
256	0.1297324237
257	0.1296414274
258	0.1295472221
259	0.1294611003
260	0.1293747441
261	0.1293201493
262	0.1292024288
263	0.129067427
264	0.1289896401
265	0.1288975816
266	0.1288068484
267	0.1287031203
268	0.1286243805
269	0.1284914837
270	0.1284101335
271	0.1283309173
272	0.1283014965
273	0.1282732737
274	0.1282159016
275	0.128104895
276	0.12801017
277	0.1278816753
278	0.1278636728
279	0.1278106543
280	0.1277310938
281	0.1276225421
282	0.1275961199
283	0.1274928675
284	0.1274491445
285	0.1274035153
286	0.127292996
287	0.1271993603
288	0.1271107878
289	0.1270346137
290	0.1269722819
291	0.1269253162
292	0.1268463537
293	0.1267241677
294	0.1266218378
295	0.1265811366
296	0.1265088014
297	0.1264161184
298	0.1263068594
299	0.126202255
300	0.1261325214
301	0.1260791826
302	0.125980451
303	0.1258947651
304	0.1257780855
305	0.1256940901
306	0.1256695908
307	0.1256156365
308	0.1255799946
309	0.1255376178
310	0.1254745692
311	0.1254187326
312	0.1253388463
313	0.1252492309
314	0.1251819349
315	0.1251150628
316	0.1250180781
317	0.1249751293
318	0.1249220145
319	0.1248811229
320	0.1248109045
321	0.1248011141
322	0.1247567875
323	0.1247427032
324	0.124679939
325	0.1246190715
326	0.1245353673
327	0.1245083915
328	0.1244291263
329	0.1243204772
330	0.1242129315
331	0.1241766191
332	0.1241012957
333	0.1239759352
334	0.123888927
335	0.1238242724
336	0.1237216729
337	0.123670248
338	0.1236033191
339	0.1235207297
340	0.1234741633
341	0.1233724336
342	0.1232954461
343	0.1232389056
344	0.1231583819
345	0.1230811603
346	0.1230499247
347	0.1229453211
348	0.1228718932
349	0.1228197926
350	0.1227963545
351	0.1227404747
352	0.1226976694
353	0.1226256884
354	0.1225358262
355	0.1224729382
356	0.1223967256
357	0.1223087515
358	0.122251707
359	0.1222179458
360	0.1221853911
361	0.1221339091
362	0.1220516419
363	0.1219566678
364	0.1219213078
365	0.1218722691
366	0.1217732477
367	0.1217034117
368	0.1216389178
369	0.1215617373
370	0.1215176313
371	0.121508719
372	0.1214737518
373	0.1214398408
374	0.1213774481
375	0.1212835075
376	0.1211720898
377	0.1211164142
378	0.1210292465
379	0.1209474996
380	0.1208541363
381	0.1207697497
382	0.120722031
383	0.1206682458
384	0.1206591012
385	0.1206244077
386	0.1205515308
387	0.1204706483
388	0.1204220265
389	0.1203471871
390	0.1202477917
391	0.1201560412
392	0.1200790978
393	0.1200519586
394	0.1200315195
395	0.1199656938
396	0.1199531545
397	0.1198797628
398	0.1198385832
399	0.1197852079
400	0.119731935
401	0.1196558862
402	0.119605365
403	0.1195952904
404	0.1195450538
405	0.1194985131
406	0.1194582379
407	0.1194103281
408	0.1193395766
409	0.1192584796
410	0.1191977939
411	0.1191130762
412	0.1190649194
413	0.119011071
414	0.1189786697
415	0.1189527817
416	0.1189257591
417	0.1188682762
418	0.1187869847
419	0.1187098086
420	0.1186388705
421	0.118604451
422	0.1185678219
423	0.1185207473
424	0.1184836869
425	0.1184583308
426	0.1184321017
427	0.1183789923
428	0.1182814038
429	0.1182115735
430	0.1181414646
431	0.1180870587
432	0.1180342137
433	0.1180264841
434	0.1179968873
435	0.1179438115
436	0.1179146373
437	0.1178879099
438	0.1178186948
439	0.1178179983
440	0.1177403595
441	0.1177168019
442	0.1177118568
443	0.117641955
444	0.1176109032
445	0.1175880354
446	0.1174993366
447	0.1174502503
448	0.1173783722
449	0.1173229817
450	0.1172505746
451	0.1172371031
452	0.1171995232
453	0.1171140734
454	0.1170603735
455	0.1169941199
456	0.1169182605
457	0.1168447029
458	0.1168194717
459	0.1167731027
460	0.1167428224
461	0.1166447594
462	0.1166083146
463	0.1165499986
464	0.1165358843
465	0.1164719145
466	0.1164678191
467	0.1164266785
468	0.1164255621
469	0.1163602795
470	0.1163242972
471	0.1162785548
472	0.1162349128
473	0.1161758606
474	0.1161109158
475	0.1160582767
476	0.1159817471
477	0.1159157858
478	0.1158436642
479	0.1157694943
480	0.1157187282
481	0.1156529401
482	0.1156459724
483	0.1156147077
484	0.1155983455
485	0.1155353714
486	0.1155186877
487	0.1155079431
488	0.1155068186
489	0.1154367482
490	0.1154147898
491	0.1154086039
492	0.115365132
493	0.1153483541
494	0.1153132726
495	0.1152659931
496	0.1151972645
497	0.1151893606
498	0.1151819072
499	0.1151566077
500	0.1151089607
501	0.1150655635
502	0.1150494098
503	0.1150039813
504	0.1149849986
505	0.1149303702
506	0.1148872413
507	0.1148073058
508	0.1147885991
509	0.1147730478
510	0.1147636046
511	0.1147097755
512	0.1147015299
513	0.1146091046
514	0.1145241883
515	0.1144602765
516	0.1144145363
517	0.1143554999
518	0.1143037298
519	0.1142140576
520	0.1141162198
521	0.1140679829
